,SES0100,date,time,ECB0100,SST0100,SPS0100,ETB0100,AHA0100,SHS0100,SRT0100,ARA0100,EOS0100,SIR0100
133,,2021-07-16,02:28:18.846747,,,7.21672489822982,,,,,,,
134,,2021-07-16,02:28:19.125083,,,,"{'maxValueVolt': 4.983134621448088, 'minValueVolt': -0.13604209252402108, 'maxValueCurr': 19.978694360247033, 'minValueCurr': 3.960737617095349}",,,,,,
135,0.0,2021-07-16,02:28:23.550519,,,,,,,,,,
136,,2021-07-16,02:28:23.670951,RUN,,,,,,,,,
137,,2021-07-16,02:28:23.773428,,217.58651435683285,,,,,,,,
138,,2021-07-16,02:28:23.902732,,,8.212861762623657,,,,,,,
139,0.0,2021-07-16,02:28:28.545467,,,,,,,,,,
140,,2021-07-16,02:28:28.653695,RUN,,,,,,,,,
141,,2021-07-16,02:28:28.758319,,217.5696799471916,,,,,,,,
142,,2021-07-16,02:28:28.855249,,,9.179547285422188,,,,,,,
143,,2021-07-16,02:28:29.067995,,,,FPPP,,,,,,
144,,2021-07-16,02:28:29.955050,,,,,,,,,Pass,
145,0.0,2021-07-16,02:28:33.544430,,,,,,,,,,
146,,2021-07-16,02:28:33.648585,RUN,,,,,,,,,
147,,2021-07-16,02:28:33.768071,,217.6485566047892,,,,,,,,
148,,2021-07-16,02:28:33.864380,,,10.195173355432654,,,,,,,
149,,2021-07-16,02:28:34.230849,,,,"{'maxValueVolt': 5.01027017494594, 'minValueVolt': 0.0025033754843864888, 'maxValueCurr': 20.053697403311098, 'minValueCurr': 4.008620664195674}",,,,,,
150,0.0,2021-07-16,02:28:38.546798,,,,,,,,,,
151,,2021-07-16,02:28:38.646237,RUN,,,,,,,,,
152,,2021-07-16,02:28:38.771140,,217.57930976834072,,,,,,,,
153,,2021-07-16,02:28:38.862524,,,11.231980310866769,,,,,,,
154,0.0,2021-07-16,02:28:43.544502,,,,,,,,,,
155,,2021-07-16,02:28:43.650510,RUN,,,,,,,,,
156,,2021-07-16,02:28:43.755075,,217.43300813154758,,,,,,,,
157,,2021-07-16,02:28:43.849420,,,12.256417944633881,,,,,,,
158,,2021-07-16,02:28:43.949487,,,,,,,,,,"{'True': 46, 'False': 14}"
159,,2021-07-16,02:28:44.301603,,,,PPPP,,,,,,
160,,2021-07-16,02:28:45.043722,,,,,,,,,Pass,
161,0.0,2021-07-16,02:28:48.545953,,,,,,,,,,
162,,2021-07-16,02:28:48.663226,RUN,,,,,,,,,
163,,2021-07-16,02:28:48.802454,,217.55836012564708,,,,,,,,
164,,2021-07-16,02:28:48.918327,,,13.254692319207154,,,,,,,
165,,2021-07-16,02:28:49.325111,,,,"{'maxValueVolt': 4.941765939578882, 'minValueVolt': 0.025879522350802226, 'maxValueCurr': 19.992815284793824, 'minValueCurr': 4.054534310622131}",,,,,,
166,0.0,2021-07-16,02:28:53.544568,,,,,,,,,,
167,,2021-07-16,02:28:53.648783,HALT,,,,,,,,,
168,,2021-07-16,02:28:53.752795,,217.6894753639381,,,,,,,,
169,,2021-07-16,02:28:53.857261,,,14.274223226047955,,,,,,,
170,0.0,2021-07-16,02:28:58.548471,,,,,,,,,,
171,,2021-07-16,02:28:58.675575,HALT,,,,,,,,,
172,,2021-07-16,02:28:58.775365,,217.76449857996369,,,,,,,,
173,,2021-07-16,02:28:58.877130,,,15.226797482958546,,,,,,,
174,,2021-07-16,02:29:00.167358,,,,,,,,,Pass,
175,0.0,2021-07-16,02:29:03.546056,,,,,,,,,,
176,,2021-07-16,02:29:03.656132,HALT,,,,,,,,,
177,,2021-07-16,02:29:03.755666,,217.9075169255869,,,,,,,,
178,,2021-07-16,02:29:03.857061,,,16.257101080205242,,,,,,,
179,,2021-07-16,02:29:03.990225,,,,PPPP,,,,,,
180,,2021-07-16,02:29:04.408916,,,,"{'maxValueVolt': 4.983480584524977, 'minValueVolt': -0.10113780882992728, 'maxValueCurr': 19.962381225075024, 'minValueCurr': 4.006335086708469}",,,,,,
181,0.0,2021-07-16,02:29:08.550233,,,,,,,,,,
182,,2021-07-16,02:29:08.648855,HALT,,,,,,,,,
183,,2021-07-16,02:29:08.758653,,217.97489832780082,,,,,,,,
184,,2021-07-16,02:29:08.849807,,,17.241453256020414,,,,,,,
185,0.0,2021-07-16,02:29:13.546233,,,,,,,,,,
186,,2021-07-16,02:29:13.646530,HALT,,,,,,,,,
187,,2021-07-16,02:29:13.746979,,217.8645669244909,,,,,,,,
188,,2021-07-16,02:29:13.848578,,,18.23366276212133,,,,,,,
189,,2021-07-16,02:29:15.258034,,,,,,,,,Fail,
190,0.0,2021-07-16,02:29:18.549569,,,,,,,,,,
191,,2021-07-16,02:29:18.658720,HALT,,,,,,,,,
192,,2021-07-16,02:29:18.757003,,218.0366717059481,,,,,,,,
193,,2021-07-16,02:29:18.888286,,,19.243867323869928,,,,,,,
194,,2021-07-16,02:29:19.189238,,,,PPPP,,,,,,
195,,2021-07-16,02:29:19.501963,,,,"{'maxValueVolt': 5.002818162434499, 'minValueVolt': -0.04174848293983496, 'maxValueCurr': 19.94526688709203, 'minValueCurr': 3.9106761163667465}",,,,,,
196,0.0,2021-07-16,02:29:23.550087,,,,,,,,,,
197,,2021-07-16,02:29:23.651364,HALT,,,,,,,,,
198,,2021-07-16,02:29:23.812189,,217.97313936134026,,,,,,,,
199,,2021-07-16,02:29:23.939773,,,20.22372423904845,,,,,,,
200,0.0,2021-07-16,02:29:28.550701,,,,,,,,,,
201,,2021-07-16,02:29:28.651700,HALT,,,,,,,,,
202,,2021-07-16,02:29:28.751772,,218.1531331591848,,,,,,,,
203,,2021-07-16,02:29:28.852998,,,21.229737171212406,,,,,,,
204,,2021-07-16,02:29:30.355684,,,,,,,,,Pass,
205,0.0,2021-07-16,02:29:33.557108,,,,,,,,,,
206,,2021-07-16,02:29:33.658480,HALT,,,,,,,,,
207,,2021-07-16,02:29:33.759988,,218.2957610404284,,,,,,,,
208,,2021-07-16,02:29:33.859976,,,22.29596601522345,,,,,,,
209,,2021-07-16,02:29:34.432496,,,,FPPP,,,,,,
210,,2021-07-16,02:29:34.606035,,,,"{'maxValueVolt': 4.869402016814546, 'minValueVolt': 0.08160092075849401, 'maxValueCurr': 19.96430754989207, 'minValueCurr': 3.9145074888854867}",,,,,,
211,0.0,2021-07-16,02:29:38.566591,,,,,,,,,,
212,,2021-07-16,02:29:38.680589,HALT,,,,,,,,,
213,,2021-07-16,02:29:38.782161,,218.4304590150766,,,,,,,,
214,,2021-07-16,02:29:38.885466,,,23.280481553292088,,,,,,,
215,0.0,2021-07-16,02:29:43.556930,,,,,,,,,,
216,,2021-07-16,02:29:43.662841,HALT,,,,,,,,,
217,,2021-07-16,02:29:43.764569,,218.5237586027898,,,,,,,,
218,,2021-07-16,02:29:43.867002,,,24.278350595791487,,,,,,,
219,,2021-07-16,02:29:43.979921,,,,,,,,,,"{'True': 44, 'False': 16}"
220,,2021-07-16,02:29:45.441971,,,,,,,,,Pass,
221,0.0,2021-07-16,02:29:48.558186,,,,,,,,,,
222,,2021-07-16,02:29:48.657518,HALT,,,,,,,,,
223,,2021-07-16,02:29:48.764083,,218.58531319401538,,,,,,,,
224,,2021-07-16,02:29:48.895570,,,25.254015265289183,,,,,,,
225,,2021-07-16,02:29:49.640049,,,,PPPP,,,,,,
226,,2021-07-16,02:29:49.822964,,,,"{'maxValueVolt': 4.945314329414999, 'minValueVolt': 0.004440598785699707, 'maxValueCurr': 19.951656491633063, 'minValueCurr': 4.020306827926784}",,,,,,
227,0.0,2021-07-16,02:29:53.556694,,,,,,,,,,
228,,2021-07-16,02:29:53.663284,HALT,,,,,,,,,
229,,2021-07-16,02:29:53.765971,,218.7653074760107,,,,,,,,
230,,2021-07-16,02:29:53.887433,,,26.338875739715142,,,,,,,
231,0.0,2021-07-16,02:29:58.557780,,,,,,,,,,
232,,2021-07-16,02:29:58.665095,HALT,,,,,,,,,
233,,2021-07-16,02:29:58.766475,,218.93892371378186,,,,,,,,
234,,2021-07-16,02:29:58.867121,,,27.364742601002998,,,,,,,
235,,2021-07-16,02:30:00.574177,,,,,,,,,Pass,
236,0.0,2021-07-16,02:30:03.556477,,,,,,,,,,
237,,2021-07-16,02:30:03.658068,HALT,,,,,,,,,
238,,2021-07-16,02:30:03.759264,,219.0,,,,,,,,
